# Loading Tips should be here. Do not add anything that is not a loading tip
LOADING_TIP_1;The Earth King has a unique resource known as Royal Authority, which can be spent on special Casus Belli, laws and diplomatic actions.;;;;;;;;;;;;;x
LOADING_TIP_4;Children of Air Nomads are born to the dynasty of their same-sex parent, sons belonging to their father's dynasty and daughters to the mother's.;;;;;;;;;;;;;x
LOADING_TIP_5;All children of Air Nomads are legitimate heirs.;;;;;;;;;;;;x
LOADING_TIP_10;Beware angering the Spirits.;;;;;;;;;;;;;x
LOADING_TIP_16;The Earth King's Tributaries make him a powerful opponent.;;;;;;;;;;;;;x
LOADING_TIP_17;The Avatar is a powerful authority, and if angered, an even greater opponent.;;;;;;;;;;;;x
LOADING_TIP_28;Build a Shrine to the Spirits to receive a blessing and their favour.;;;;;;;;;;;;;x
LOADING_TIP_35;Fire Feudalism makes it easier to convert tribes and build Factories.;;;;;;;;;;;;x
LOADING_TIP_39;Characters and provinces convert via events and decisions in the Four Nations.;;;;;;;;;;;;;x
LOADING_TIP_45;The arrival of Sozin's Comet will bring a new era.;;;;;;;;;;;;;x
LOADING_TIP_47;The Western Earth Kingdom is especially at risk of Fire Nation attack.;;;;;;;;;;;;;x
LOADING_TIP_48;The Four Nation is currently crash-prone. Make sure to save often, or increase the frequency of autosaves!;;;;;;;;;;;;;x
