#CODE;ENGLISH;
agnikai.1.desc;It seems your troubles with [challenger.GetFullName] have finally come to the boiling point. [challenger.GetFirstNameWithNick] has issued a formal challenge, demanding you duel in the sacred tradition of Agni Kai. With such a challenge issued, there is no turning back. To refuse this duel now, would bring upon both you and your clan great dishonour.;
agnikai.1.opt.1;I will gladly meet this challenge.;
agnikai.1.opt.2;Even faced with disgrace, I will not fight!;
agnikai.1.opt.3;Does the Dragon concern [Root.GetHerselfHimself] with the insects? All know [challenger.GetSheHe] is unworthy of my time.;
agnikai.2.desc;It seems [From.GetFullName] isn't afraid to meet your challenge, formally accepting to terms of the Agni Kai. All that remains now is to travel out and meet [From.GetHerHim] on the duelling ground.;
agnikai.2.opt;I am ready for this battle.;
agnikai.3.desc;It seems [From.GetFullName] has decided shame and disgrace and a worthy price for survival. With the confirmation of [From.GetHerHis] dishonour, you have triumphed over your opponent with little more than words.;
agnikai.3.opt;Words are all it takes to defeat cowards.;
agnikai.4.desc.1;The time of the Agni Kai has finally arrived. Under sacred traditions, the first to burn their opponent emerges as the victor. [From.GetFullName] strides forward, ready to face you. Merely a glance at your opponent reveals [From.GetSheHe] is well built and a master of the Firebending arts. This might be a difficult battle.;
agnikai.4.desc.2;The time of the Agni Kai has finally arrived. Under sacred traditions, the first to burn their opponent emerges as the victor. [From.GetFullName] strides forward, ready to face you. Merely a glance at your opponent reveals [From.GetSheHe] is of moderate build and a master of the Firebending arts. This might be a difficult battle.;
agnikai.4.desc.3;The time of the Agni Kai has finally arrived. Under sacred traditions, the first to burn their opponent emerges as the victor. [From.GetFullName] strides forward, ready to face you. Merely a glance at your opponent reveals [From.GetSheHe] is of weak build and a master of the Firebending arts. [From.GetSheHeCap] may lack endurance, but [From.GetHerHis] Firebending skill is not to be underestimated.;
agnikai.4.desc.4;The time of the Agni Kai has finally arrived. Under sacred traditions, the first to burn their opponent emerges as the victor. [From.GetFullName] strides forward, ready to face you. Merely a glance at your opponent reveals [From.GetSheHe] is well built and an adept Firebender. This might be a difficult battle.;
agnikai.4.desc.5;The time of the Agni Kai has finally arrived. Under sacred traditions, the first to burn their opponent emerges as the victor. [From.GetFullName] strides forward, ready to face you. Merely a glance at your opponent reveals [From.GetSheHe] is of moderate build and an adept Firebender. This will be a worthy battle.;
agnikai.4.desc.6;The time of the Agni Kai has finally arrived. Under sacred traditions, the first to burn their opponent emerges as the victor. [From.GetFullName] strides forward, ready to face you. Merely a glance at your opponent reveals [From.GetSheHe] is of weak build and adept Firebender. This battle should be a short one.;
agnikai.4.desc.7;The time of the Agni Kai has finally arrived. Under sacred traditions, the first to burn their opponent emerges as the victor. [From.GetFullName] strides forward, ready to face you. Merely a glance at your opponent reveals [From.GetSheHe] is well built, but an unskilled Firebender. This battle will be a worthy one.;
agnikai.4.desc.8;The time of the Agni Kai has finally arrived. Under sacred traditions, the first to burn their opponent emerges as the victor. [From.GetFullName] strides forward, ready to face you. Merely a glance at your opponent reveals [From.GetSheHe] is of moderate build but an unskilled Firebender. This battle should be a short one.;
agnikai.4.desc.9;The time of the Agni Kai has finally arrived. Under sacred traditions, the first to burn their opponent emerges as the victor. [From.GetFullName] strides forward, ready to face you. Merely a glance at your opponent reveals [From.GetSheHe] is of weak build and an unskilled Firebender. This battle should be pitifully short.;
agnikai.4.opt;I am ready for this battle.;
