#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
d_shuhon_island;Shuhon Island;Shuhon Island;Shuhon Island;;Shuhon Island;;;;;;;;;x
d_shuhon_island_adj;Shuhoni Islander;;Shuhoni Islander;;;;;;;;;;;x
d_amdo_islands;Amdo Islands;Amdo Islands;Amdo Islands;;Amdo Islands;;;;;;;;;x
d_amdo_islands_adj;Amdo Islander;;Amdo Islandser;;;;;;;;;;;x
d_ansai;Ansai;Ansai;Ansai;;Ansai;;;;;;;;;x
d_ansai_adj;Ansai;;anser;;;;;;;;;;;x
d_aztlan_islands;Aztlan Islands;Aztlan Islands;Aztlan Islands;;Aztlan Islands;;;;;;;;;x
d_aztlan_islands_adj;Aztlan Islander;;Aztlan Islandser;;;;;;;;;;;x
d_badaji;Badaji;Badaji;Badaji;;Badaji;;;;;;;;;x
d_badaji_adj;Badajian;;badajer;;;;;;;;;;;x
d_baha;Baha;Baha;Baha;;Baha;;;;;;;;;x
d_baha_adj;Bahan;;baher;;;;;;;;;;;x
d_baingoin_islands;Baingoin Islands;Baingoin Islands;Baingoin Islands;;Baingoin Islands;;;;;;;;;x
d_baingoin_islands_adj;Baingoin Islander;;Baingoin Islandser;;;;;;;;;;;x
d_baotou;Hanshu;Baotou;Baotou;;Baotou;;;;;;;;;x
d_baotou_adj;Hanshu;;baoter;;;;;;;;;;;x
d_bei_sha;Bei Sha;Bei Sha;Bei Sha;;Bei Sha;;;;;;;;;x
d_bei_sha_adj;Bei Shan;;Bei Sher;;;;;;;;;;;x
d_beishan;Akhasir;Beishan;Beishan;;Beishan;;;;;;;;;x
d_beishan_adj;Akhasir;;beishaner;;;;;;;;;;;x
d_bianzhou;Zhiha;Bianzhou;Bianzhou;;Bianzhou;;;;;;;;;x
d_bianzhou_adj;Zhiha;;bianzher;;;;;;;;;;;x
d_boluo;Boluo;Boluo;Boluo;;Boluo;;;;;;;;;x
d_boluo_adj;Boluo;;boler;;;;;;;;;;;x
d_caijiahe;Zhujawan;Caijiahe;Caijiahe;;Caijiahe;;;;;;;;;x
d_caijiahe_adj;Zhujawan;;caijiaher;;;;;;;;;;;x
d_capital_province;Capital Province;Capital Province;Capital Province;;Capital Province;;;;;;;;;x
d_capital_province_adj;Capital Provincean;;Capital Provincer;;;;;;;;;;;x
d_changan;Xiahu;Chang'an;Chang'an;;Chang'an;;;;;;;;;x
d_changan_adj;Xiahu;;chang'aner;;;;;;;;;;;x
d_dahaizi;Dahaizi;Dahaizi;Dahaizi;;Dahaizi;;;;;;;;;x
