#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
monastic_order_elder_council_rank_1_female;Nun;;;;;;;;;;;x
monastic_order_elder_council_rank_2_female;Respected Nun;;;;;;;;;;;x
monastic_order_elder_council_rank_3_female;Elder;;;;;;;;;;;x
monastic_order_elder_council_rank_4_female;High Elder;;;;;;;;;;;x
monastic_order_elder_council_rank_1_male;Monk;;;;;;;;;;;x
monastic_order_elder_council_rank_2_male;Respected Monk;;;;;;;;;;;x
monastic_order_elder_council_rank_3_male;Elder;;;;;;;;;;;x
monastic_order_elder_council_rank_4_male;High Elder;;;;;;;;;;;x
monastic_order_elder_council;The Elder Council;;;;;;;;;;;x
monastic_order_elder_council_desc;The Elder Council is the leadership of the Air Nomads, made up of the most senior and respected of elders. In times of great trouble, the Air Nomads look to the Council itself for it's guidance and wisdom.;;;;;;;;;;;x
monastic_order_elder_council_leader_desc;Most Respected Elder;;;;;;;;;;;x
monastic_order_elder_council_currency;Wisdom;;;;;;;;;;;x
airball_association;The Airball Association;;;;;;;;;;;x
airball_association_desc;The Airball Association is a ruling body for Airball. The AA controls every aspect of the organised game, both amateur and professional, and is responsible for national competitions.;;;;;;;;;;;x
airball_association_rank_1_female;Junior;;;;;;;;;;;x
airball_association_rank_2_female;Senior;;;;;;;;;;;x
airball_association_rank_3_female;Champion;;;;;;;;;;;x
airball_association_rank_4_female;Coach;;;;;;;;;;;x
airball_association_rank_1_male;Junior;;;;;;;;;;;x
airball_association_rank_2_male;Senior;;;;;;;;;;;x
airball_association_rank_3_male;Champion;;;;;;;;;;;x
airball_association_rank_4_male;Coach;;;;;;;;;;;x
airball_association_leader_desc;President of Airball Association;;;;;;;;;;;x
EVTDESC_MNM_4458;[From.GetMOGreeting], [Root.GetTitledFirstName]\n\nWe are delighted by your decision to join our ranks as a lay member, [Root.GetTitle]. Together we shall strive for the betterment of ourselves and our fellow [Root.GetReligiousPerson]s by following [From.GetMOCode].\n\n[From.GetMOFarewell],\nSigned, [From.GetSocietyRank] [From.GetFirstName];;;;;;;;;;;x
airball_association_currency;Experience;;;;;;;;;;;x
brotherhood_of_agni_kai_rank_1_female;Novice;;;;;;;;;;;x
brotherhood_of_agni_kai_rank_2_female;Duelist;;;;;;;;;;;x
brotherhood_of_agni_kai_rank_3_female;Master;;;;;;;;;;;x
brotherhood_of_agni_kai_rank_4_female;Grandmaster;;;;;;;;;;;x
brotherhood_of_agni_kai_rank_1_male;Novice;;;;;;;;;;;x
brotherhood_of_agni_kai_rank_2_male;Duelist;;;;;;;;;;;x
brotherhood_of_agni_kai_rank_3_male;Master;;;;;;;;;;;x
brotherhood_of_agni_kai_rank_4_male;Grandmaster;;;;;;;;;;;x
brotherhood_of_agni_kai;The Art of Agni Kai;;;;;;;;;;;x
brotherhood_of_agni_kai_desc;Those said to follow the Art of Agni Kai, value honour above all else. Ritualistic duellers, they hold the tradition of the Agni Kai to be the greatest form of combat, and the purest show of one's strength.;;;;;;;;;;;x
brotherhood_of_agni_kai_leader_desc;Grandmaster of the Order;;;;;;;;;;;x
brotherhood_of_agni_kai_currency;Honor;;;;;;;;;;;x
the_enlightened_rank_1_female;Novice;;;;;;;;;;;x
the_enlightened_rank_2_female;Shaman;;;;;;;;;;;x
the_enlightened_rank_3_female;Guide;;;;;;;;;;;x
the_enlightened_rank_4_female;Herald;;;;;;;;;;;x
the_enlightened_rank_1_male;Novice;;;;;;;;;;;x
the_enlightened_rank_2_male;Shaman;;;;;;;;;;;x
the_enlightened_rank_3_male;Guide;;;;;;;;;;;x
the_enlightened_rank_4_male;Herald;;;;;;;;;;;x
the_enlightened;The Enlightened;;;;;;;;;;;x
the_enlightened_desc;In this Age of Raava, the Water Tribe's spiritual leaders have been reduced to nothing more than actors of tradition, a far cry from the great power and influence they once wielded when Spirits roamed the world. There is however, an enlightened sect of such individuals who look to preserve the tribe's knowledge of the Spirits, and to protect the people from further straying from the Spirit's into the hands of foreign degeneracy?;;;;;;;;;;;x
the_enlightened_leader_desc;Highest and most trusted Guide of the Enlightened;;;;;;;;;;;x
the_enlightened_currency;Wisdom;;;;;;;;;;;x
the_kemurikage_sisterhood_rank_1_female;Spy;;;;;;;;;;;x
the_kemurikage_sisterhood_rank_2_female;Agent;;;;;;;;;;;x
the_kemurikage_sisterhood_rank_3_female;Assassin;;;;;;;;;;;x
the_kemurikage_sisterhood_rank_4_female;Grandmaster;;;;;;;;;;;x
the_kemurikage_sisterhood_rank_1_male;Spy;;;;;;;;;;;x
the_kemurikage_sisterhood_rank_2_male;Agent;;;;;;;;;;;x
the_kemurikage_sisterhood_rank_3_male;Assassin;;;;;;;;;;;x
the_kemurikage_sisterhood_rank_4_male;Grandmaster;;;;;;;;;;;x
the_kemurikage_sisterhood;The Kemurikage Sisterhood;;;;;;;;;;;x
the_kemurikage_sisterhood_desc;Born of vengeance, The Kemurikage Spirits brought such terror that an entire realm shattered before them. The tyrant's fear, The Kemurikage Sisterhood may be mortal, but follow a similar legacy. Their mastery of the shadow makes them peerless agents and assassins.;;;;;;;;;;;x
the_kemurikage_sisterhood_leader_desc;Grandmaster of the Sisterhood;;;;;;;;;;;x
the_kemurikage_sisterhood_currency;Favour;;;;;;;;;;;x
five_seven_fiver_society_rank_1_female;Novice;;;;;;;;;;;x
five_seven_fiver_society_rank_2_female;Poet;;;;;;;;;;;x
five_seven_fiver_society_rank_3_female;Master;;;;;;;;;;;x
five_seven_fiver_society_rank_4_female;Grandmaster;;;;;;;;;;;x
five_seven_fiver_society_rank_1_male;Novice;;;;;;;;;;;x
five_seven_fiver_society_rank_2_male;Poet;;;;;;;;;;;x
five_seven_fiver_society_rank_3_male;Master;;;;;;;;;;;x
five_seven_fiver_society_rank_4_male;Grandmaster;;;;;;;;;;;x
five_seven_fiver_society;Five-Seven-Fiver Society;;;;;;;;;;;x
five_seven_fiver_society_desc;While Ba Sing Se is most renown for it's vastness and majesty, the Upper Ring of the city itself is known for it's rich culture and learning, and in the field of poetry, there are none that can match the Five-Seven-Fiver, a society that consists of the Earth Kingdom's female aristocracy.;;;;;;;;;;;x
five_seven_fiver_society_leader_desc;Most Grand and Masterful Poet;;;;;;;;;;;x
five_seven_fiver_society_currency;Artistry;;;;;;;;;;;x
the_white_lotus_rank_1_female;Sentry;;;;;;;;;;;x
the_white_lotus_rank_2_female;Agent;;;;;;;;;;;x
the_white_lotus_rank_3_female;Master;;;;;;;;;;;x
the_white_lotus_rank_4_female;Grand Lotus;;;;;;;;;;;x
the_white_lotus_rank_1_male;Sentry;;;;;;;;;;;x
the_white_lotus_rank_2_male;Agent;;;;;;;;;;;x
the_white_lotus_rank_3_male;Master;;;;;;;;;;;x
the_white_lotus_rank_4_male;Grand Lotus;;;;;;;;;;;x
the_white_lotus;The White Lotus;;;;;;;;;;;x
the_white_lotus_desc;A secret society, shrouded in mystery for untold eons, the White Lotus is dedicated to preserving the balance of the world. It is unknown to all how the society operates or who controls it or how one would even know one belongs to the order. Most dismiss the idea of the White Lotus as an outright myth.;;;;;;;;;;;x
the_white_lotus_leader_desc;Grand Lotus of the Order;;;;;;;;;;;x
the_white_lotus_currency;Wisdom;;;;;;;;;;;x
