#####                                          #####
##                                                ##
##        Bookmark localisation loc file          ##
##  Written for T4N - Restored by TypicalCrusader ##
##                                                ##
#####                                          #####


ERA_CHAR_NAME_5;Earth King Huan;;;;;;;;;;;;x
ERA_CHAR_NAME_8;Firelord Sozin;;;;;;;;;;;;x
ERA_CHAR_NAME_3;Avatar Roku;;;;;;;;;;;;x
ERA_CHAR_NAME_6;Earth Queen Ji Houa;;;;;;;;;;;;x
ERA_CHAR_NAME_1;Avatar Kyoshi;;;;;;;;;;;;x
ERA_CHAR_NAME_52018;Zoryu Rakurai;;;;;;;;;;;;x
ERA_CHAR_NAME_54003;Chaejin Saowon;;;;;;;;;;;;x
ERA_CHAR_NAME_29966;Prince Jin;;;;;;;;;;;;x
ERA_CHAR_NAME_38990;Prince Shige;;;;;;;;;;;;x
ERA_CHAR_NAME_42083;Prince Xi;;;;;;;;;;;;x
ERA_CHAR_INFO_29966;The Warlord of the North, the eldest surviving son of Chin the Great, and rightful heir to his empire. Jin is pragmatic in his approach, gaining him much support from the old nobility.;;;;;;;;;;;;x
ERA_CHAR_INFO_38990;The Warlord of the South, the middle son of Chin the Great, and aspiring heir to his empire. Shige is a hardline follower of his father, and vows revenge on Kyoshi at any cost, garnering him loyalty from the military.;;;;;;;;;;;;x
ERA_CHAR_INFO_42083;The Warlord of the East, the youngest son of Chin the Great, and aspiring heir to his empire. Xi wishes to found a new empire based on ethical principles, giving him much support from the disenfranchised peasantry.;;;;;;;;;;;;x
ERA_CHAR_INFO_1;The 49th Earth King Huan, Monarch of Ba Sing Se, King of Kings and liege of all territories within the Earth Kingdom. Long as the Hou-Ting Dynasty ruled from the golden throne, but so much of their once great power has diminished. Earth King Huan is like his father before him, a puppet of the royal court, never having once stepped a foot outside his vast palace.;;;;;;;;;;;;x
ERA_CHAR_INFO_2;Firstborn of his father, inheritor of the great Fire Nation, Firelord Sozin is a wise and just monarch. A long time friend of the powerful Avatar Roku, and revered among his subjects, ambition is yet something that burns within Sozin's heart. For so long have the people of his nation prospered, while those beyond it's borders have been mired in nothing but war and starvation. As Sozin sees it, the world needs a strong leader such as himself to bring it progress and prosperity. His territorial ambitions however, may put him at odds with his old friend, Roku, who sees things quite differentlyi?1;;;;;;;;;;;;x
ERA_CHAR_INFO_3;The next in the cycle after Kyoshi, Avatar Roku, born in the Fire Nation, and a close friend of Firelord Sozin. He has yet to learn to bend water and earth, his training will be over in taming the Avatar State.;;;;;;;;;;;;x
