#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
secret_religious_society_template;Template Society;;;;;;;;;;;;;x
secret_religious_society_template_desc;Template Description.;;;;;;;;;;;;;x
secret_religious_society_template_rank_1_female;Acolyte;;;;;;;;;;;;;x
secret_religious_society_template_rank_2_female;Sage;;;;;;;;;;;;;x
secret_religious_society_template_rank_3_female;Keeper;;;;;;;;;;;;;x
secret_religious_society_template_rank_4_female;Preserver;;;;;;;;;;;;;x
secret_religious_society_template_rank_1_male;Acolyte;;;;;;;;;;;;;x
secret_religious_society_template_rank_2_male;Sage;;;;;;;;;;;;;x
secret_religious_society_template_rank_3_male;Keeper;;;;;;;;;;;;;x
secret_religious_society_template_rank_4_male;Preserver;;;;;;;;;;;;;x
secret_religious_society_template_leader_desc;The Preserver of the Shrines and leader of $SOCIETY|Y$, leading the grand effort of bringing more people into the fold.;;;;;;;;;;;;;x
secret_religious_society_template_currency;Template Currency;;;;;;;;;;;;;x
currency_name_secret_religious_society_imperialism;Devotion;;;;;;;;;;;;;x
secret_religious_society_imperialism;New Ozai Society;;;;;;;;;;;;;x
secret_religious_society_imperialism_desc;Our brothers and our lord may have betrayed the ancestors, but we will remain strong. A day will come when we will emerge again like a phoenix, once again to remind the lesser peoples of their place.;;;;;;;;;;;;;x
secret_religious_society_imperialism_rank_1_female;Follower;;;;;;;;;;;;;x
secret_religious_society_imperialism_rank_2_female;Warrior;;;;;;;;;;;;;x
secret_religious_society_imperialism_rank_3_female;Captain;;;;;;;;;;;;;x
secret_religious_society_imperialism_rank_4_female;General;;;;;;;;;;;;;x
secret_religious_society_imperialism_rank_1_male;Follower;;;;;;;;;;;;;x
secret_religious_society_imperialism_rank_2_male;Warrior;;;;;;;;;;;;;x
secret_religious_society_imperialism_rank_3_male;Captain;;;;;;;;;;;;;x
secret_religious_society_imperialism_rank_4_male;General;;;;;;;;;;;;;x
secret_imperialism_community;Secret Imperialist Stronghold;;;;;;;;;;;;;x
secret_imperialism_community_desc;In secret, Imperialists in this province have stockpiled weapons and supplies in wait for the great uprising against the weaklings who hold power.;;;;;;;;;;;;;x
secret_religious_society_earth_spirituality;The Shrine Keepers;;;;;;;;;;;;;x
secret_religious_society_earth_spirituality_desc;When all others have abandoned our most ancient and sacred traditions, this society will continue to uphold them. Constant work must be done to maintain the countless shrines scattered across the ancestral lands of our ancestors, to show the Spirits that not all have forgotten their obligations.;;;;;;;;;;;;;x
secret_religious_society_earth_spirituality_rank_1_female;Acolyte;Fidèle;Getreue;;Fiel;;;;;;;;;x
secret_religious_society_earth_spirituality_rank_2_female;Sage;Adhérente;Anhängerin;;Seguidora;;;;;;;;;x
secret_religious_society_earth_spirituality_rank_3_female;Keeper;Prêcheuse;Predigerin;;Predicadora;;;;;;;;;x
secret_religious_society_earth_spirituality_rank_4_female;Preserver;Messagère;Herold;;Mensajera;;;;;;;;;x
secret_religious_society_earth_spirituality_rank_1_male;Acolyte;Fidèle;Getreuer;;Fiel;;;;;;;;;x
secret_religious_society_earth_spirituality_rank_2_male;Sage;Adhérent;Anhänger;;Seguidor;;;;;;;;;x
secret_religious_society_earth_spirituality_rank_3_male;Keeper;Prêcheur;Prediger;;Predicador;;;;;;;;;x
secret_religious_society_earth_spirituality_rank_4_male;Preserver;Messager;Herold;;Mensajero;;;;;;;;;x
secret_religious_society_earth_spirituality_leader_desc;The Preserver of the Shrines and leader of $SOCIETY|Y$, leading the grand effort of bringing more people into the fold.;Le grand prêtre de $SOCIETY|Y$ dirige l'effort mondial visant à rassembler davantage de personnes en son sein.;Der Hohepriester des $SOCIETY|Y$-Zirkels, der die internationalen Bemühungen leitet, mehr Menschen in den Schoß der Familie zu führen.;;El Sumo sacerdote de $SOCIETY|Y$, que dirige la misión a escala internacional para atraer a más fieles.;;;;;;;;;x
secret_religious_society_earth_spirituality_currency;Wisdom;Dévotion;Hingabe;;Devoción;;;;;;;;;x
secret_religious_society_ba_sing_se_cultural_heritage;Heritage Preservation League;;;;;;;;;;;;x
secret_religious_society_ba_sing_se_cultural_heritage_desc;Ba Sing Se's culture and heritage is more than any individual, movement or even the Earth Kingdom. Never has this city yielded to intruders, and those who work to preserve it's glory will never falter.;;;;;;;;;;;;x
secret_religious_society_ba_sing_se_cultural_heritage_rank_1_female;Enthusiast;Fidèle;Getreue;;Fiel;;;;;;;;;x
secret_religious_society_ba_sing_se_cultural_heritage_rank_2_female;Associate;Adhérente;Anhängerin;;Seguidora;;;;;;;;;x
secret_religious_society_ba_sing_se_cultural_heritage_rank_3_female;Agent;Prêcheuse;Predigerin;;Predicadora;;;;;;;;;x
secret_religious_society_ba_sing_se_cultural_heritage_rank_4_female;Secretariat;Messagère;Herold;;Mensajera;;;;;;;;;x
secret_religious_society_ba_sing_se_cultural_heritage_rank_1_male;Enthusiast;Fidèle;Getreuer;;Fiel;;;;;;;;;x
secret_religious_society_ba_sing_se_cultural_heritage_rank_2_male;Associate;Adhérent;Anhänger;;Seguidor;;;;;;;;;x
secret_religious_society_ba_sing_se_cultural_heritage_rank_3_male;Agent;Prêcheur;Prediger;;Predicador;;;;;;;;;x
secret_religious_society_ba_sing_se_cultural_heritage_rank_4_male;Secretariat;Messager;Herold;;Mensajero;;;;;;;;;x
secret_religious_society_ba_sing_se_cultural_heritage_leader_desc;The Secretariat and leader of the $SOCIETY|Y$, leading the grand effort of bringing more people into the fold.;Le grand prêtre de $SOCIETY|Y$ dirige l'effort mondial visant à rassembler davantage de personnes en son sein.;Der Hohepriester des $SOCIETY|Y$-Zirkels, der die internationalen Bemühungen leitet, mehr Menschen in den Schoß der Familie zu führen.;;El Sumo sacerdote de $SOCIETY|Y$, que dirige la misión a escala internacional para atraer a más fieles.;;;;;;;;;x
secret_religious_society_ba_sing_se_cultural_heritage_currency;Heritage;Dévotion;Hingabe;;Devoción;;;;;;;;;x
secret_religious_society_omashuan_ethics;Children of Oma;;;;;;;;;;;;x
secret_religious_society_omashuan_ethics_desc;The populace of Omashu stood long and proud against many invaders, even persevering after the great city fell to Chin the Conqueror. The people of the two tribes of Oma and Shu united countless years ago will not give up their traditions and identity easily.;;;;;;;;;;;;x
secret_religious_society_omashuan_ethics_rank_1_female;Enthusiast;Fidèle;Getreue;;Fiel;;;;;;;;;x
secret_religious_society_omashuan_ethics_rank_2_female;Associate;Adhérente;Anhängerin;;Seguidora;;;;;;;;;x
secret_religious_society_omashuan_ethics_rank_3_female;Agent;Prêcheuse;Predigerin;;Predicadora;;;;;;;;;x
secret_religious_society_omashuan_ethics_rank_4_female;Secretariat;Messagère;Herold;;Mensajera;;;;;;;;;x
secret_religious_society_omashuan_ethics_rank_1_male;Enthusiast;Fidèle;Getreuer;;Fiel;;;;;;;;;x
secret_religious_society_omashuan_ethics_rank_2_male;Associate;Adhérent;Anhänger;;Seguidor;;;;;;;;;x
secret_religious_society_omashuan_ethics_rank_3_male;Agent;Prêcheur;Prediger;;Predicador;;;;;;;;;x
secret_religious_society_omashuan_ethics_rank_4_male;Secretariat;Messager;Herold;;Mensajero;;;;;;;;;x
secret_religious_society_omashuan_ethics_leader_desc;The Secretariat and leader of the $SOCIETY|Y$, leading the grand effort of bringing more people into the fold.;Le grand prêtre de $SOCIETY|Y$ dirige l'effort mondial visant à rassembler davantage de personnes en son sein.;Der Hohepriester des $SOCIETY|Y$-Zirkels, der die internationalen Bemühungen leitet, mehr Menschen in den Schoß der Familie zu führen.;;El Sumo sacerdote de $SOCIETY|Y$, que dirige la misión a escala internacional para atraer a más fieles.;;;;;;;;;x
secret_religious_society_omashuan_ethics_currency;Heritage;Dévotion;Hingabe;;Devoción;;;;;;;;;x
secret_religious_society_path_of_jin_wei;Followers of Jin Wei;;;;;;;;;;;;x
secret_religious_society_path_of_jin_wei_desc;The righteous descendants of Jin Wei will never yield their ancestors honour to the dishonourable tribe of Wei Jin. One day, the tribe of Jin Wei will emerge victorious!;;;;;;;;;;;;x
secret_religious_society_path_of_jin_wei_rank_1_female;Novice;Fidèle;Getreue;;Fiel;;;;;;;;;x
secret_religious_society_path_of_jin_wei_rank_2_female;Warrior;Adhérente;Anhängerin;;Seguidora;;;;;;;;;x
secret_religious_society_path_of_jin_wei_rank_3_female;Commander;Prêcheuse;Predigerin;;Predicadora;;;;;;;;;x
secret_religious_society_path_of_jin_wei_rank_4_female;Marshal;Messagère;Herold;;Mensajera;;;;;;;;;x
