#code;ENGLISH;;;;;;;;;;x

#Earthkingdom Culture Group#
earth_kingdom_culture_opinion;Earth Kingdom opinion;;;;;;;;;;x
ba_sing_se_opinion;Ba Sing Se Opinion;;;;;;;;;;x
norhtern_earth_opinion;Northern Earth Opinion;;;;;;;;;;x
eastern_earth_opinion;Eastern Earth Opinion;;;;;;;;;;x
southern_earth_opinion;Southern Earth Opinion;;;;;;;;;;x
western_earth_opinion;Western Earth Opinion;;;;;;;;;;x
earth_islander_opinion;Earth Islander Opinion;;;;;;;;;;x
sandbender_opinion;Sandbender Opinion;;;;;;;;;;x
barbarian_opinion;Barbarian Opinion;;;;;;;;;;x
colonial_earth_fire_opinion;Colonial Earth Fire Opinio;;;;;;;;;;xn
colonial_earth_water_opinion;Colonial Earth Water Opinion;;;;;;;;;;x
colonial_earth_air_opinion;Colonial Earth Air Opinion;;;;;;;;;;x

#Fire Nation Culture Group#
fire_nation_culture_opinion;Fire Opinion;;;;;;;;;;x
fire_nation_opinion;Fire Nation Opinion;;;;;;;;;;x
fire_islander_opinion;Fire Islander Opinion;;;;;;;;;;x
southern_raider_opinion;Southern Raider Opinion;;;;;;;;;;x
sun_warrior_opinion;Sun Warrior Opinion;;;;;;;;;;x
colonial_opinion;Colonial Opinion;;;;;;;;;;x
colonial_fire_water_opinion;Colonial Fire Water Opinion;;;;;;;;;;x
colonial_fire_air_opinion;Colonial Fire Air Opinion;;;;;;;;;;x

#Air Nomad Culture Group#
air_nomad_culture_opinion;Air Nomad Opinion;;;;;;;;;;x
northern_air_nomad_opinion;Northern Air Opinion;;;;;;;;;;x
eastern_air_nomad_opinion;Eastern Air Opinion;;;;;;;;;;x
southern_air_nomad_opinion;Southern Air Opinion;;;;;;;;;;x
western_air_nomad_opinion;Western Air Opinion;;;;;;;;;;x
air_acolytes_opinion;Air Acolytes Opinion;;;;;;;;;;x
new_air_nation_opinion;New Air Nation Opinion;;;;;;;;;;x
colonial_air_fire_opinion;Colonial Air Fire Opinion;;;;;;;;;;x
colonial_air_earth_opinion;Colonial Air Earth Opinion;;;;;;;;;;x
colonial_air_water_opinion;Colonial Air Water Opinion;;;;;;;;;;x

#Outlaw Culture Group#
outlaw_culture_opinion;Outlaw Opinion;;;;;;;;;;x
pirate_opinion;Pirate Opinion;;;;;;;;;;x

#Water Tribe Culture Group#
water_tribe_culture_opinion;Water Tribe Opinion;;;;;;;;;;x
northern_water_opinion;Northern Water Opinion;;;;;;;;;;x
northern_water_urban_opinion;Northern Water Urban Opinion;;;;;;;;;;x
southern_water_opinion;Southern Water Opinion;;;;;;;;;;x
foggy_swamp_opinion;Swamp Opinion;;;;;;;;;;x
colonial_water_fire_opinion;Water Colonial Water Fire Opinion;;;;;;;;;;x
colonial_water_earth_opinion;Water Colonial Water Earth Opinion;;;;;;;;;;x
colonial_water_air_opinion;Water Colonial Water Air Opinion;;;;;;;;;;x

#Republic City Culture Group#
republic_city_culture_opinion;Republic Opinion;;;;;;;;;;x
republic_city_opinion;Republic City Opinion;;;;;;;;;;x
metal_clan_opinion;Metal Clan Opinion;;;;;;;;;;x
