#CODE;#ENGLISH;#no idea lol
EVTTITMAND4;New Surname;;;;;;;;;;;;x
EVTDESCMAND4;After your ascension on Badgermole throne it is customary to change your family name to something more appropriate.;;;;;;;;;;;;x
mandate_dyn_wu;I will take the pious name of Wu;;;;;;;;;;;;x
mandate_dyn_shu;I will take the threatening name of Shu;;;;;;;;;;;;x
mandate_dyn_wei;I will take the lawful name of Wei;;;;;;;;;;;;x
mandate_dyn_next_site;Next Site;;;;;;;;;;;;x
mandate_dyn_qin;I will take the powerful name of Qin;;;;;;;;;;;;x
mandate_dyn_zhou;I will take the humble name of Zhou;;;;;;;;;;;;x
mandate_dyn_wang;I will take the royal name of Wang;;;;;;;;;;;;x
mandate_dyn_xian;I will take the godly name of Xian;;;;;;;;;;;;x
mandate_dyn_tao;I will take the astute name of Tao;;;;;;;;;;;;x
mandate_dyn_se;I will take the stalwart name of Se;;;;;;;;;;;;x
mandate_dyn_jin;I will take the royal name of Jin;;;;;;;;;;;;x
mandate_dyn_go_back;Go Back;;;;;;;;;;;;x
mandate_dyn_exit;Exit;;;;;;;;;;;;x
earmark_ARMY_MANDATE;Banners of Badgermole Claimant;;;;;;;;;;;;x
TXT_INFLUENCE;Influence;;;;;;;;;;;;x
mandate.1;Bureo.. What?;;;;;;;;;;;;x
mandate.2;CLAIMANT TO MY MANDATE OF SPIRITS?!!;;;;;;;;;;;;x
mandate_dyn_duan;Duan;;;;;;;;;;;;x
mandate_dyn_murong;Murong;;;;;;;;;;;;x
mandate_dyn_tuoba;Tuoba;;;;;;;;;;;;x
mandate_dyn_cuijuk;Cuijuk;;;;;;;;;;;;x
mandate_dyn_duyar;Duyar;;;;;;;;;;;;x
mandate_dyn_uushin;Uushin;;;;;;;;;;;;x
mandate_dyn_gorlos;Gorlos;;;;;;;;;;;;x
mandate.8a;Let the Realm flourish!;;;;;;;;;;;;x
mandate.9a;Let My words end all conflict!;;;;;;;;;;;;x
mandate.10a;I will be a Light for my people;;;;;;;;;;;;x
mandate.11a;Great;;;;;;;;;;;;x
mandate.12a;IM the law;;;;;;;;;;;;x
mandate.13a;My Ambition has no Bounds;;;;;;;;;;;;x
mandate.14a;I will do something.... later;;;;;;;;;;;;x
mandate.15a;Realm does not sleep and so do I;;;;;;;;;;;;x
mandate.16a;I have everything what else do i need?;;;;;;;;;;;;x
mandate.17a;My subject sure like me!;;;;;;;;;;;;x
mandate.18a;Are they gone?;;;;;;;;;;;;x
mandate.21a;D..dd.amn It!;;;;;;;;;;;;x
mandate.23a;Kindness Pays off!;;;;;;;;;;;;x
mandate.24a;I don't care that they hate me, I care that they fear me!;;;;;;;;;;;;x
mandate.25a;Damn it;;;;;;;;;;;;x
mandate.28a;At least my legacy is secured;;;;;;;;;;;;x
mandate.28a;Life does not have a reason so why live?;;;;;;;;;;;;x
EVTDESCMAND1;Due to a prolonged period of incapability from your rule, the enforcement of our laws has degraded.;;;;;;;;;;;;x
EVTDESCMAND2;Due to your poor rulership, others have set their eyes on throne, a New Claimant for Badgermole Throne appears. There are rumours they are mustering their forces to attack us!;;;;;;;;;;;;x
EVTTITMAND3;Conqueror;;;;;;;;;;;;x
EVTDESCMAND3;After series of conquests, your campaign has finally come to an end, and thus you are the rightful ruler of Earth Kingdom! Now, as the new ruler of an entire nation, you need to choose a dynasty for ensuring your legitimacy.;;;;;;;;;;;;x
EVTDESCMAND5;Your weak rulership over Earth Kingdom has degraded your authority. Because of that, the Bureaucratic faction has seized power. Now you are nothing more than a puppet king, without even the right to leave palace.;;;;;;;;;;;;x
EVTDESCMAND6;Our bureaucratic laws have degraded because of your inability to uphold the Earth Kingdom's authority.;;;;;;;;;;;;x
EVTDESCMAND8;Your prowess with stewardship has greatly improved your authority within the Earth Kingdom.;;;;;;;;;;;;x
EVTDESCMAND9;Your finesse with diplomacy has greatly improved your authority within the Earth Kingdom.;;;;;;;;;;;;x
EVTDESCMAND10;Your great knowledge of world and the Spirits has greatly improved your authority within the Earth Kingdom.;;;;;;;;;;;;x
EVTDESCMAND11;Your recent actions towards strengthening your authority have born fruit, and your subjects look upon you with greater respect.;;;;;;;;;;;;x
