#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
e_air_nomads;Air Nomads;Air Nomads;Air Nomads;;Air Nomads;;;;;;;;;x
e_air_nomads_adj;Air Nomad;;Air Nomadser;;;;;;;;;;;x
e_earth_kingdom;Earth Kingdom;Earth Kingdom;Earth Kingdom;;Earth Kingdom;;;;;;;;;x
e_earth_kingdom_adj;Earth Kingdom;;Earth Kingdomer;;;;;;;;;;;x
e_phoenix_kingdom;Phoenix Kingdom;Phoenix Kingdom;Phoenix Kingdom;;Phoenix Kingdom;;;;;;;;;x
e_phoenix_kingdom_adj;;;;;;;;;;;;;x
e_fire_nation;Fire Nation;Phoenix Kingdom;Phoenix Kingdom;;Phoenix Kingdom;;;;;;;;;x
e_fire_nation_adj;Fire Nation;;;;;;;;;;;;x
e_water_tribes;Water Tribes;Water Tribes;Water Tribes;;Water Tribes;;;;;;;;;x
e_water_tribes_adj;Water Tribe;;Water Tribeser;;;;;;;;;;;x
e_chin_empire;Great Chin;Empire of Chin;;;;;;;;;;;;x
e_chin_empire_adj;Chin;;;;;;;;;;;;x
e_united_republic;United Republic of Nations;;;;;;;;;;;;x
e_united_republic_adj;United;;;;;;;;;;;;x
e_united_republic_of_nations;United Republic of Nations;;;;;;;;;;;;x
e_united_republic_of_nations_adj;United;;;;;;;;;;;;x
e_earth_empire;Earth Empire;;;;;;;;;;;;x
e_earth_empire_adj;Imperial;;;;;;;;;;;;x
e_pirates_adj;Pirate;;;;;;;;;;;;x
e_one_nation;One Nation;;;;;;;;;;;;x
k_yellow_turbans;Yellow Turbans;;;;;;;;;;;x
k_yellow_turbans_adj;Yellow Turban;;;;;;;;;;;x
k_three_rings;Three Rings;;;;;;;;;;;x
k_three_rings_adj;Three Ring;;;;;;;;;;;x
e_nanzhou;Nanzhou;;;;;;;;;;;x
e_nanzhou_adj;Nanzhouan;;;;;;;;;;;x
e_greater_omashu;Greater Omashu;;;;;;;;;;;x
e_greater_omashu_adj;Omashuan;;;;;;;;;;;x
e_xishan;Xishan;;;;;;;;;;;x
e_xishan_adj;Xishan;;;;;;;;;;;x
e_ji;Da Ji Guo;;;;;;;;;;;x
e_ji_adj;Jian;;;;;;;;;;;x
e_xin;Greater Xin;;;;;;;;;;;x
e_xin_adj;Xiian;;;;;;;;;;;x
e_sun_empire;Empire of the Sun;;;;;;;;;;;x
e_sun_empire_adj;Imperial;;;;;;;;;;;x
empire_of_spirit;Spirit World;Sultanat de;Sultanat von;;Sultanato de;;;;;;;;;x #technicly it belongs here
