#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#This is for special flavor buildings that are around the Avatar world but don't really fit into any certain category.
#Castle flavor buildings
avatar_mansion_1;Ruined Avatar Mansion;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
avatar_mansion_1_desc;Built by Earth Sage Jianzhu to house the legendary Avatar. The mansion was designed almost as a miniature city. The compound is massive in size, with ornate high walls as its perimeter and great halls peppered with design elements of the four nations to house both books and people alike. However, most of the mansion lay in ruin after multiple battles, and has been abandoned for many years. Even so, its splendor still amazes many that come to the Island, and can be rebuilt to serve once more as a residence of the ruler of Kyoshi island.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
avatar_mansion_2;Rebuilt Avatar Mansion;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
avatar_mansion_2_desc;Fully rebuilt, the Avatar Mansion now serves as the primary residence of the ruler of Kyoshi Island. Many of the shortcomings of the original mansion have been addressed, with an additional guard barracks for the security of the palace, as well as a greatly improved servants quarter, library, and garden to match. Even the richest dignitary may look in jealous eyes as the people of Kyoshi Island take awe to its renewed prescence and take pride in its splendor.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
cave_of_two_lovers_1;Cave of Two Lovers;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
cave_of_two_lovers_1_desc;Once said to be used by Oma and Shu to meet in secret, the Tunnels are venerated by Earthbenders as the Birthplace of Earthbending. Countless tunnels extend throughout the Mountain Range, and only the most wise of Earthbenders would be able to pass through to the other side.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
northern_chin_memorial;Northern Chin Memorial;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
northern_chin_memorial_desc;Supposedly erected and etched by Emperor Jin, the eldest son of Chin the Conqueror, the towering Northern Chin Monument immortalizes the names of brave and loyal soldiers who fell during Chin's conquest.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
grave_of_chin;Grave of Chin the Conqueror;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
grave_of_chin_desc;The gravesite of Chin the Conqueror, whose body was personally recovered and buried by Shige, the warlord's youngest son.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ancestral_home_of_chin;Ancestral Home of Zho;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ancestral_home_of_chin_desc;The ancient home of Chin and his ancestors, this small wooden home acts as a holy site for pilgrims to visit.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
wulong_forest;Wulong Forest;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
wulong_forest_desc;A geographical formation composed of thousands of stone pillars.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
full_moon_bay;Full Moon Bay;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
full_moon_bay_desc;A secluded cove in the East Lake, Full Moon Bay serves as a ferry station to and from Ba Sing Se.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
fire_nation_bazaar;The Fire Nation Bazaar;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
