##Cultures##;;;;;;;;;;;;;;
fire_nation_cultures;Fire;Feu;Fire;;Fire;;;;;;;;;x
fire_nation_cultures_FEATURES;§Y*§! Can challenge to §YAgni Kai§!, a duel of two §RFirebenders§! for honor, without a §YWar Focus§!;;;;;;;;;;;;;x
earth_kingdom_cultures;Earth;Terre;Earth;;Earth;;;;;;;;;x
omashuan;Omashuan;Omashuan;Omashuan;;Omashuan;;;;;;;;;x
air_nomad_cultures;Air;Air;Air;;Air;;;;;;;;;x
water_tribe_cultures;Water;Eau;Water;;Water;;;;;;;;;x
republic_city_culture;Cosmopolitan;Republicain;Republican;;Republican;;;;;;;;;x
spirit_culture;Spirit;Esprit;Spirit;;Spirit;;;;;;;;;x
barbarian_culture;Barbarian;Terre;Earth;;Earth;;;;;;;;;x
dragon;Dragon;Dragon;Dragon;;Dragon;;;;;;;;;x
fire_imperial_culture;Imperial;Imperial;Fire Imperial Culture;;Fire Imperial Culture;;;;;;;;;x
colonial;Colonial;Colonial;Colonial;;Colonial;;;;;;;;;x
sun_warrior;Sun Warrior;Guerrier du Soleil;Sun Warrior;;Sun Warrior;;;;;;;;;x
northern_earth_culture;Earth Northerner;Royaume de la Terre du Nord;Northern Earth Kingdom;;Northern Earth Kingdom;;;;;;;;;x
ba_sing_se_culture;Metropolitan;Ba Sing Se;Ba Sing Se;;Ba Sing Se;;;;;;;;;x
southern_earth_culture;Southern Earth;Royaume de la Terre du Sud;Southern Earth Kingdom;;Southern Earth Kingdom;;;;;;;;;x
sandbender_culture;Sandbender Tribes;Tribus de Ma§tres du Sable;Sandbender Tribes;;Sandbender Tribes;;;;;;;;;x
earth_islander;Earth Islander;§les du Royaume de la Terre;Earth Kingdom Islander;;Earth Kingdom Islander;;;;;;;;;x
eastern_air_nomad;Eastern Air Nomad;Nomade de l'Air du Est;Eastern Air Nomad;;Eastern Air Nomad;;;;;;;;;x
western_air_nomad;Western Air Nomad;Nomade de l'Air du Ouest;Western Air Nomad;;Western Air Nomad;;;;;;;;;x
northern_air_nomad;Northern Air Nomad;Nomade de l'Air du Nord;Northern Air Nomad;;Northern Air Nomad;;;;;;;;;x
southern_air_nomad;Southern Air Nomad;Nomade de l'Air du Sud;Southern Air Nomad;;Southern Air Nomad;;;;;;;;;x
air_acolytes;Air Acolyte;Acolytes d'Air;Air Acolytes;;Air Acolytes;;;;;;;;;x
new_air_nation;New Air National;Nouveau Nation de l'Air;New Air Nation;;New Air Nation;;;;;;;;;x
northern_water_culture;Northern Water Tribal;Tribu d'Eau du Nord;Northern Water Tribe;;Northern Water Tribe;;;;;;;;;x
southern_water_culture;Southern Water Tribal;Tribu d'Eau du Sud;Southern Water Tribe;;Southern Water Tribe;;;;;;;;;x
swampfolk;Foggy Swampfolk;Tribu de le Marais;Foggy Swamp Tribe;;Foggy Swamp Tribe;;;;;;;;;x
republic_city;Cosmopolitan;Republicain;Republican;;Republican;;;;;;;;;x
spirit;Spirit;Esprit;Spirit;;Spirit;;;;;;;;;x
outlaw_cultures;Outlaw;Criminel;Outlaw;;Outlaw;;;;;;;;;x
pirate_culture;Pirate;;;;;;;;;x

southern_raider;Southern Raider;Cuirass§s du Sud;Southern Raider;;Southern Raider;;;;;;;;;x
fire_islander;Fire Islander;§les du Nation de Feu;Fire Nation Islander;;Fire Nation Islander;;;;;;;;;x
eastern_earth_culture;Earth Easterner;Royaume de la Terre du Est;Eastern Earth Kingdom;;Eastern Earth Kingdom;;;;;;;;;x
western_earth_culture;Earth Westerner;Royaume de la Terre du Ouest;Western Earth Kingdom;;Western Earth Kingdom;;;;;;;;;x
metal_clan;Metal Clansman;Clan de M§tal;Metal Clan;;Metal Clan;;;;;;;;;x
fire_nation_cultures_modifier;Fire Nation Traditions;Feu;Fire;;Fire;;;;;;;;;x
southern_raider_culture_modifier;Southern Raider Traditions;Feu;Fire;;Fire;;;;;;;;;x
fire_islander_culture_modifier;Fire Islander Traditions;Feu;Fire;;Fire;;;;;;;;;x
barbarian_culture_modifier;Barbarian Traditions;Terre;Earth;;Earth;;;;;;;;;x
colonial_culture_modifier;Colonial Traditions;Feu;Fire;;Fire;;;;;;;;;x
sun_warrior_culture_modifier;Sun Warrior Traditions;Tradition du Guerrier Du Soleil;Fire;;Fire;;;;;;;;;x
earth_kingdom_cultures_modifier;Earth Kingdom Traditions;Tradition du Terre;Earth;;Earth;;;;;;;;;x
earth_islander_culture_modifier;Earth Islander Traditions;Terre;Earth;;Earth;;;;;;;;;x
ba_sing_se_culture_modifier;Metropolitan Traditions;Terre;Earth;;Earth;;;;;;;;;x
sandbender_culture_modifier;Sandbender Traditions;Terre;Earth;;Earth;;;;;;;;;x
air_nomad_culture_modifier;Air Nomad Traditions;Air;Air;;Air;;;;;;;;;x
air_nation_culture_modifier;Air Nation Traditions;Air;Air;;Air;;;;;;;;;x
northern_water_culture_modifier;Northern Water Tribe Traditions;Eau;Water;;Water;;;;;;;;;x
southern_water_culture_modifier;Southern Water Tribe Traditions;Eau;Water;;Water;;;;;;;;;x
swampfolk_culture_modifier;Swamp Tribe Traditions;Eau;Water;;Water;;;;;;;;;x
republic_city_culture_modifier;Cosmopolitan Traditions;Republicain;Republican;;Republican;;;;;;;;;x
metal_clan_culture_modifier;Metal Clan Traditions;Republicain;Republican;;Republican;;;;;;;;;x
pirate_culture_modifier;Pirate Traditions;Criminel;Outlaw;;Outlaw;;;;;;;;;x
colonial_fire_water;Colonial;Colonial;Colonial;;Colonial;;;;;;;;;x
colonial_fire_air;Colonial;Colonial;Colonial;;Colonial;;;;;;;;;x
colonial_earth_fire;Colonial;Colonial;Colonial;;Colonial;;;;;;;;;x
colonial_earth_water;Colonial;Colonial;Colonial;;Colonial;;;;;;;;;x
colonial_earth_air;Colonial;Colonial;Colonial;;Colonial;;;;;;;;;x
colonial_water_air;Colonial;Colonial;Colonial;;Colonial;;;;;;;;;x
colonial_water_fire;Colonial;Colonial;Colonial;;Colonial;;;;;;;;;x
colonial_water_earth;Colonial;Colonial;Colonial;;Colonial;;;;;;;;;x
colonial_air_water;Colonial;Colonial;Colonial;;Colonial;;;;;;;;;x
colonial_air_fire;Colonial;Colonial;Colonial;;Colonial;;;;;;;;;x
colonial_air_earth;Colonial;Colonial;Colonial;;Colonial;;;;;;;;;x
yuan;Yuan;Yuan;Yuan;Yuan;Yuan;;;;;;;;;
