#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
c_alxa;Alxa;Alxa;Alxa;;Alxa;;;;;;;;;x
c_alxa_adj;Alxan;;alxer;;;;;;;;;;;x
c_amagasaki;Amagasaki;Amagasaki;Amagasaki;;Amagasaki;;;;;;;;;x
c_amagasaki_adj;Amagasakian;;amagasaker;;;;;;;;;;;x
c_shuhon;Shuhon;Shuhon;Shuhon;;Shuhon;;;;;;;;;x
c_shuhon_adj;Shuhoni;;shuhoner;;;;;;;;;;;x
c_amdo;Amdo;Amdo;Amdo;;Amdo;;;;;;;;;x
c_amdo_adj;Amdian;;amder;;;;;;;;;;;x
c_ansai;Ansai;Ansai;Ansai;;Ansai;;;;;;;;;x
c_ansai_adj;Ansian;;anser;;;;;;;;;;;x
c_aoshang;Aoshang;Aoshang;Aoshang;;Aoshang;;;;;;;;;x
c_aoshang_adj;Aoshangian;;aoshanger;;;;;;;;;;;x
c_aso;Aso;Aso;Aso;;Aso;;;;;;;;;x
c_aso_adj;Asian;;aser;;;;;;;;;;;x
c_aztlan;Aztlan;Aztlan;Aztlan;;Aztlan;;;;;;;;;x
c_aztlan_adj;Aztlanian;;aztlaner;;;;;;;;;;;x
c_badaji;Badaji;Badaji;Badaji;;Badaji;;;;;;;;;x
c_badaji_adj;Badaji;;badajer;;;;;;;;;;;x
c_baidapo;Baidapo;Baidapo;Baidapo;;Baidapo;;;;;;;;;x
c_baidapo_adj;Baidapian;;baidaper;;;;;;;;;;;x
c_baingoin;Baingoin;Baingoin;Baingoin;;Baingoin;;;;;;;;;x
c_baingoin_adj;Baingoinian;;baingoiner;;;;;;;;;;;x
c_baiyin;Baiyin;Baiyin;Baiyin;;Baiyin;;;;;;;;;x
c_baiyin_adj;Baiyinian;;baiyiner;;;;;;;;;;;x
c_bala;Bala;Bala;Bala;;Bala;;;;;;;;;x
c_bala_adj;Balan;;baler;;;;;;;;;;;x
c_baotou;Baotou;Baotou;Baotou;;Baotou;;;;;;;;;x
c_baotou_adj;Baotian;;baoter;;;;;;;;;;;x
c_baqun;Baqun;Baqun;Baqun;;Baqun;;;;;;;;;x
c_baqun_adj;Baqunian;;baquner;;;;;;;;;;;x
c_bayan;Bayan;Bayan;Bayan;;Bayan;;;;;;;;;x
c_bayan_adj;Bayanian;;bayaner;;;;;;;;;;;x
c_beisu;Beisu;Beisu;Beisu;;Beisu;;;;;;;;;x
c_beisu_adj;Beisian;;beiser;;;;;;;;;;;x
c_beixiao;Beixiao;Beixiao;Beixiao;;Beixiao;;;;;;;;;x
c_beixiao_adj;Beixian;;beixer;;;;;;;;;;;x
c_bengbu;Bengbu;Bengbu;Bengbu;;Bengbu;;;;;;;;;x
c_bengbu_adj;Bengbian;;bengber;;;;;;;;;;;x
c_bianjing;Bianjing;Bianjing;Bianjing;;Bianjing;;;;;;;;;x
c_bianjing_adj;Bianjingian;;bianjinger;;;;;;;;;;;x
c_bianzhou;Bianzhou;Bianzhou;Bianzhou;;Bianzhou;;;;;;;;;x
c_bianzhou_adj;Bianzhian;;bianzher;;;;;;;;;;;x
c_biena;Biena;Biena;Biena;;Biena;;;;;;;;;x
c_biena_adj;Bienan;;biener;;;;;;;;;;;x
c_bincheng;Bincheng;Bincheng;Bincheng;;Bincheng;;;;;;;;;x
c_bincheng_adj;Binchengian;;binchenger;;;;;;;;;;;x
c_binhai_district;Binhai District;Binhai District;Binhai District;;Binhai District;;;;;;;;;x
c_binhai_district_adj;Binhai District;;Binhai Districter;;;;;;;;;;;x
c_blue_district;Blue District;Blue District;Blue District;;Blue District;;;;;;;;;x
c_blue_district_adj;Blue District;;Blue Districter;;;;;;;;;;;x
c_boiling_rock;Boiling Rock;Boiling Rock;Boiling Rock;;Boiling Rock;;;;;;;;;x
c_boiling_rock_adj;Boiling Rock;;Boiling Rocker;;;;;;;;;;;x
c_bu_xi;Bu Xi;Bu Xi;Bu Xi;;Bu Xi;;;;;;;;;x
c_bu_xi_adj;Bu Xian;;Bu Xer;;;;;;;;;;;x
c_burning_point;Burning Point;Burning Point;Burning Point;;Burning Point;;;;;;;;;x
c_burning_point_adj;Burning Point;;Burning Pointer;;;;;;;;;;;x
c_caihecun;Caihecun;Caihecun;Caihecun;;Caihecun;;;;;;;;;x
c_caihecun_adj;Caihecunian;;caihecuner;;;;;;;;;;;x
c_caijiahe;Caijiahe;Caijiahe;Caijiahe;;Caijiahe;;;;;;;;;x
c_caijiahe_adj;Caijiahean;;caijiaher;;;;;;;;;;;x
c_chailangu;Chailangu;Chailangu;Chailangu;;Chailangu;;;;;;;;;x
c_chailangu_adj;Chailangian;;chailanger;;;;;;;;;;;x
c_changan;Chang'an;Chang'an;Chang'an;;Chang'an;;;;;;;;;x
c_changan_adj;Chang'anian;;chang'aner;;;;;;;;;;;x
c_chengji;Chengji;Chengji;Chengji;;Chengji;;;;;;;;;x
c_chengji_adj;Chengjian;;chengjer;;;;;;;;;;;x
c_chenping;Chenping;Chenping;Chenping;;Chenping;;;;;;;;;x
c_chenping_adj;Chenpingian;;chenpinger;;;;;;;;;;;x
c_chiayi;Chiayi;Chiayi;Chiayi;;Chiayi;;;;;;;;;x
c_chiayi_adj;Chiaian;;chiaer;;;;;;;;;;;x
c_chijia;Chijia;Chijia;Chijia;;Chijia;;;;;;;;;x
c_chijia_adj;Chijian;;chijer;;;;;;;;;;;x
c_chin;Chin;Chin;Chin;;Chin;;;;;;;;;x
c_chin_adj;Chinian;;chiner;;;;;;;;;;;x
c_cholsan;Cholsan;Cholsan;Cholsan;;Cholsan;;;;;;;;;x
c_cholsan_adj;Cholsanian;;cholsaner;;;;;;;;;;;x
c_crescent_island;Crescent Island;Crescent Island;Crescent Island;;Crescent Island;;;;;;;;;x
c_crescent_island_adj;Crescent Islander;;Crescent Islander;;;;;;;;;;;x
c_da_wa;Da-Wa;Da-Wa;Da-Wa;;Da-Wa;;;;;;;;;x
c_da_wa_adj;Da-Wan;;da-wer;;;;;;;;;;;x
c_dagong;Dagong;Dagong;Dagong;;Dagong;;;;;;;;;x
c_dagong_adj;Dagongian;;dagonger;;;;;;;;;;;x
c_dagze;Dagze;Dagze;Dagze;;Dagze;;;;;;;;;x
c_dagze_adj;Dagzean;;dagzer;;;;;;;;;;;x
c_dahai;Dahai;Dahai;Dahai;;Dahai;;;;;;;;;x
c_dahai_adj;Dahian;;daher;;;;;;;;;;;x
c_dahaizi;Dahaizi;Dahaizi;Dahaizi;;Dahaizi;;;;;;;;;x
c_dahaizi_adj;Dahaizian;;dahaizer;;;;;;;;;;;x
c_daishan;Daishan;Daishan;Daishan;;Daishan;;;;;;;;;x
c_daishan_adj;Daishanian;;daishaner;;;;;;;;;;;x
c_dajing;Dajing;Dajing;Dajing;;Dajing;;;;;;;;;x
