king_title_ruler_consort_female_northern_water;Chieftess;;;;;;;;;;;;x
king_title_ruler_consort_northern_water;Chief;;;;;;;;;;;;x
king_title_ruler_consort_female_southern_water;Chieftess;;;;;;;;;;;;x
king_title_ruler_consort_southern_water;Chief;;;;;;;;;;;;x

count_title_ruler_consort_female_southern_water;Chieftess;;;;;;;;;;;;x
count_title_ruler_consort_southern_water;Chief;;;;;;;;;;;;x
count_title_ruler_consort_female_northern_water;Chieftess;;;;;;;;;;;;x
count_title_ruler_consort_northern_water;Chief;;;;;;;;;;;;x

title_prince_northern_air_nomad;Monk;;;;;;;;;;;;x
title_prince_western_air_nomad;Monk;;;;;;;;;;;;x
title_prince_southern_air_nomad;Monk;;;;;;;;;;;;x
title_prince_eastern_air_nomad;Monk;;;;;;;;;;;;x
title_prince_female_northern_air_nomad;Nun;;;;;;;;;;;;x
title_prince_female_western_air_nomad;Nun;;;;;;;;;;;;x
title_prince_female_southern_air_nomad;Nun;;;;;;;;;;;;x
title_prince_female_eastern_air_nomad;Nun;;;;;;;;;;;;x

emperor_northern_water;High Chief;Grand Chef;Großhäuptling;;Alto mandatario;;;;;;;;;x
emperor_female_northern_water;High Chieftess;Grand cheftaine;Großhäuptling;;;;;;;;;;;x

king_northern_water;Chief;Chef;Häuptling;;Mandatario;;;;;;;;;x
king_female_northern_water;Chieftess;Cheftaine;Häuptling;;;;;;;;;;;x
duke_northern_water;Chief;;;;;;;;;;;;x
duke_female_northern_water;Chieftess;;;;;;;;;;;;x
emperor_southern_water;High Chief;Grand Chef;Großhäuptling;;Alto mandatario;;;;;;;;;x
emperor_female_southern_water;High Chieftess;Grand cheftaine;Großhäuptling;;;;;;;;;;;x
king_southern_water;Chief;Chef;Häuptling;;Mandatario;;;;;;;;;x
king_female_southern_water;Chieftess;Cheftaine;Häuptling;;;;;;;;;;;x
duke_southern_water;Chief;;;;;;;;;;;;x
duke_female_southern_water;Chieftess;;;;;;;;;;;;x
king_republic_city;High Governor;;;;;;;;;;;;x
king_female_republic_city;High Governor;;;;;;;;;;;;x
city_duke_republic_city;Governor;Doge;Doge;;Dux;;;;;;;;;x
duke_republic_city;Governor;Huecalpixqui;Huecalpixqui;;Huecalpixqui;;;;;;;;;x
duke_female_republic_city;Governor;Huecalpixqui;Huecalpixqui;;Huecalpixqui;;;;;;;;;x
count_republic_city;Lord;Calpixqui;Calpixqui;;Calpixqui;;;;;;;;;x
count_female_republic_city;Lady;Calpixqui;Calpixqui;;Calpixqui;;;;;;;;;x
baron_republic_city;Lord;Teuhtli;Teuctli;;Teuctli;;;;;;;;;x
baron_female_republic_city;Lady;Teuhtli;Teuctli;;Teuctli;;;;;;;;;x
temple_baron_republic_city;Sage;Teuhtli;Teuctli;;Teuctli;;;;;;;;;x
job_chancellor_republic_city;Minister of Diplomacy;Cihuacoatl;Cihuacoatl;;Cihuacoatl;;;;;;;;;x
job_marshal_republic_city;Minister of War;Tlacateccatl;Tlacateccatl;;Tlacateccatl;;;;;;;;;x
job_treasurer_republic_city;Minister of Finance;Petlacalcatl;Petlacalcatl;;Petlacalcatl;;;;;;;;;x
job_spymaster_republic_city;Minister of Intelligence;Tillancalqui;Tillancalqui;;Tillancalqui;;;;;;;;;x
job_spiritual_republic_city;Court Sage;Sahagï¿½n;Sahagun;;Sahagun;;;;;;;;;x
empire_of_republic_city;Grand Republic of;Sultanat de;Sultanat von;;Sultanato de;;;;;;;;;x
kingdom_of_republic_city;Republic of;Sultanat de;Sultanat von;;Sultanato de;;;;;;;;;x
duchy_of_republic_city;State of;Teuhtli;Teuctli;;Teuctli;;;;;;;;;x
county_of_republic_city;Province of;Teuhtli;Teuctli;;Teuctli;;;;;;;;;x
city_duchy_of_republic_city;Merchant Colony of;Rï¿½publique de;Republik von;;Repï¿½blica de;;;;;;;;;x
city_county_of_republic_city;Urban Province of;Grande Citï¿½ de;Großstadt;;Ciudad de;;;;;;;;;x
temple_county_of_republic_city;Temple Province of;Grande Citï¿½ de;Großstadt;;Ciudad de;;;;;;;;;x
temple_barony_of_republic_city;Temple of;Grande Citï¿½ de;Großstadt;;Ciudad de;;;;;;;;;x
temple_count_republic_city;Sage;;;;;;;;;;;;x


king_eastern_air_nomad;Grand Elder;;;;;;;;;;;;x
king_female_eastern_air_nomad;Grand Elder;;;;;;;;;;;;x
city_duke_eastern_air_nomad;Elder;Doge;Doge;;Dux;;;;;;;;;x
duke_eastern_air_nomad;Elder;Huecalpixqui;Huecalpixqui;;Huecalpixqui;;;;;;;;;x
duke_female_eastern_air_nomad;Elder;Huecalpixqui;Huecalpixqui;;Huecalpixqui;;;;;;;;;x
count_eastern_air_nomad;High Monk;Calpixqui;Calpixqui;;Calpixqui;;;;;;;;;x
count_female_eastern_air_nomad;High Nun;Calpixqui;Calpixqui;;Calpixqui;;;;;;;;;x
baron_eastern_air_nomad;Monk;Teuhtli;Teuctli;;Teuctli;;;;;;;;;x
baron_female_eastern_air_nomad;Nun;Teuhtli;Teuctli;;Teuctli;;;;;;;;;x
temple_baron_eastern_air_nomad;Monk;Teuhtli;Teuctli;;Teuctli;;;;;;;;;x
temple_baron_female_eastern_air_nomad;Nun;Teuhtli;Teuctli;;Teuctli;;;;;;;;;x
job_chancellor_eastern_air_nomad;Mediator;Cihuacoatl;Cihuacoatl;;Cihuacoatl;;;;;;;;;x
job_marshal_eastern_air_nomad;Trainer;Tlacateccatl;Tlacateccatl;;Tlacateccatl;;;;;;;;;x
job_treasurer_eastern_air_nomad;Book Keeper;Petlacalcatl;Petlacalcatl;;Petlacalcatl;;;;;;;;;x
job_spymaster_eastern_air_nomad;Watcher;Tillancalqui;Tillancalqui;;Tillancalqui;;;;;;;;;x
job_spiritual_eastern_air_nomad;Spiritual Master;Sahagï¿½n;Sahagun;;Sahagun;;;;;;;;;x
kingdom_of_eastern_air_nomad;Temple of;Sultanat de;Sultanat von;;Sultanato de;;;;;;;;;x
duchy_of_eastern_air_nomad;Temple of;Teuhtli;Teuctli;;Teuctli;;;;;;;;;x
county_of_eastern_air_nomad;Temple of;Teuhtli;Teuctli;;Teuctli;;;;;;;;;x
city_duchy_of_eastern_air_nomad;Temple of;Rï¿½publique de;Republik von;;Repï¿½blica de;;;;;;;;;x
city_county_of_eastern_air_nomad;Temple of;Grande Citï¿½ de;Großstadt;;Ciudad de;;;;;;;;;x
city_barony_of_eastern_air_nomad;Temple of;Grande Citï¿½ de;Großstadt;;Ciudad de;;;;;;;;;x
temple_county_of_eastern_air_nomad;Temple of;Grande Citï¿½ de;Großstadt;;Ciudad de;;;;;;;;;x
temple_barony_of_eastern_air_nomad;Temple of;Grande Citï¿½ de;Großstadt;;Ciudad de;;;;;;;;;x
temple_count_eastern_air_nomad;Monk;;;;;;;;;;;;x
temple_count_female_eastern_air_nomad;Nun;;;;;;;;;;;;x
king_southern_air_nomad;Grand Elder;;;;;;;;;;;;x
king_female_southern_air_nomad;Grand Elder;;;;;;;;;;;;x
city_duke_southern_air_nomad;Elder;Doge;Doge;;Dux;;;;;;;;;x
duke_southern_air_nomad;Elder;Huecalpixqui;Huecalpixqui;;Huecalpixqui;;;;;;;;;x
duke_female_southern_air_nomad;Elder;Huecalpixqui;Huecalpixqui;;Huecalpixqui;;;;;;;;;x
count_southern_air_nomad;High Monk;Calpixqui;Calpixqui;;Calpixqui;;;;;;;;;x
