#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
k_aksu;Aksu;Aksu;Aksu;;Aksu;;;;;;;;;x
k_aksu_adj;Aksian;;akser;;;;;;;;;;;x
k_ba_sing_se;Ba Sing Se;Ba Sing Se;Ba Sing Se;;Ba Sing Se;;;;;;;;;x
k_ba_sing_se_adj;Ba Sing Se;;Ba Sing Ser;;;;;;;;;;;x
k_beidiqiu;Beidiqiu;Beidiqiu;Beidiqiu;;Beidiqiu;;;;;;;;;x
k_beidiqiu_adj;Beidiqian;;beidiqer;;;;;;;;;;;x
k_beihai;Beihai;Beihai;Beihai;;Beihai;;;;;;;;;x
k_beihai_adj;Beihian;;beiher;;;;;;;;;;;x
k_beihai_si_wong;Beihai Si Wong;Beihai Si Wong;Beihai Si Wong;;Beihai Si Wong;;;;;;;;;x
k_beihai_si_wong_adj;Beihai Si Wong;;Beihai Si Wonger;;;;;;;;;;;x
k_beishan;Beishan;Beishan;Beishan;;Beishan;;;;;;;;;x
k_beishan_adj;Beishan;;beishaner;;;;;;;;;;;x
k_dahexi;Dahexi;Dahexi;Dahexi;;Dahexi;;;;;;;;;x
k_dahexi_adj;Dahexian;;dahexer;;;;;;;;;;;x
k_dongfang;Dongfang;Dongfang;Dongfang;;Dongfang;;;;;;;;;x
k_dongfang_adj;Dongfang;;dongfanger;;;;;;;;;;;x
k_earth_islands;Earth Islands;Earth Islands;Earth Islands;;Earth Islands;;;;;;;;;x
k_earth_islands_adj;Earth Islander;;Earth Islandser;;;;;;;;;;;x
k_eastern_air_temple;Eastern Air Temple;Eastern Air Temple;Eastern Air Temple;;Eastern Air Temple;;;;;;;;;x
k_eastern_air_temple_adj;Eastern Air Temple;;Eastern Air Templer;;;;;;;;;;;x
k_fire_islands;Mo Ce Isles;Fire Islands;Fire Islands;;Fire Islands;;;;;;;;;x
k_fire_islands_adj;Mo-Ce Islander;;Fire Islander;;;;;;;;;;;x
k_fire_nation;Dong'Huo;Fire Nation;Fire Nation;;Fire Nation;;;;;;;;;x
k_fire_nation_adj;Dong'Huo;;Fire Nationer;;;;;;;;;;;x
k_western_fire_nation;Xi'Huo;Fire Nation;Fire Nation;;Fire Nation;;;;;;;;;x
k_western_fire_nation_adj;Xi'Huo;;Fire Nationer;;;;;;;;;;;x
k_gaolan;Gaolan;Gaolan;Gaolan;;Gaolan;;;;;;;;;x
k_gaolan_adj;Gaolan;;gaolaner;;;;;;;;;;;x
k_great_divide;Great Divide;Great Divide;Great Divide;;Great Divide;;;;;;;;;x
k_great_divide_adj;Great Divide;;Great Divider;;;;;;;;;;;x
k_hu_xin;Hu Xin;Hu Xin;Hu Xin;;Hu Xin;;;;;;;;;x
k_hu_xin_adj;Hu Xinian;;Hu Xin;;;;;;;;;;;x
k_huizhou;Huizhou;Huizhou;Huizhou;;Huizhou;;;;;;;;;x
k_huizhou_adj;Huizhian;;huizher;;;;;;;;;;;x
k_liaoyang;Liaoyang;Liaoyang;Liaoyang;;Liaoyang;;;;;;;;;x
k_liaoyang_adj;Liaoyang;;liaoyanger;;;;;;;;;;;x
k_nanchang;Nanchang;Nanchang;Nanchang;;Nanchang;;;;;;;;;x
k_nanchang_adj;Nanchang;;nanchanger;;;;;;;;;;;x
k_nanhai_si_wong;Nanhai Si Wong;Nanhai Si Wong;Nanhai Si Wong;;Nanhai Si Wong;;;;;;;;;x
k_nanhai_si_wong_adj;Nanhai Si Wong;;Nanhai Si Wonger;;;;;;;;;;;x
k_nantu;Nantu;Nantu;Nantu;;Nantu;;;;;;;;;x
k_nantu_adj;Nantian;;nanter;;;;;;;;;;;x
